,TB vs Yan t,TB vs Yan real p,TB vs Yan p_lessthan_alpha
eL-65.0 gnaps4.2,23.24,9.342809863811581e-14,True
eL-50.0 gnaps2.4,32.92,3.968333794142851e-16,True
eL-65.0 gnaps3.0,1.903,0.07519210780894127,False
eL-60.0 gnaps1.8,0.1169,0.908394102852734,False
eL-55.0 gnaps1.8,27.99,5.101167555484744e-15,True
eL-60.0 gnaps3.0,28.34,4.196924040702473e-15,True
eL-60.0 gnaps4.2,115.9,7.885284580375678e-25,True
eL-55.0 gnaps4.2,21.57,2.9750937804137186e-13,True
eL-60.0 gnaps2.4,11.67,3.0783669400180268e-09,True
eL-60.0 gnaps3.6,28.26,4.387435237287267e-15,True
eL-65.0 gnaps1.8,1.457,0.16446205550293752,False
eL-65.0 gnaps2.4,1.651,0.11822686991757742,False
eL-50.0 gnaps1.8,27.34,7.375324612738947e-15,True
eL-55.0 gnaps3.6,24.04,5.514293533519759e-14,True
eL-55.0 gnaps3.0,24.4,4.373153306357838e-14,True
eL-55.0 gnaps2.4,32.1,5.907658701810386e-16,True
eL-65.0 gnaps3.6,10.72,1.0352727028062821e-08,True
