,TB vs Yan t,TB vs Yan real p,TB vs Yan p_lessthan_alpha
eL-65.0 gnaps4.2,15.69,3.885361492748612e-11,True
eL-50.0 gnaps2.4,4.393,0.0004537899558692187,False
eL-65.0 gnaps3.0,1.295,0.2136959204725441,False
eL-60.0 gnaps1.8,0.08695,0.9317901408847326,False
eL-55.0 gnaps1.8,18.7,2.6901153464153332e-12,True
eL-60.0 gnaps3.0,19.03,2.056633930412877e-12,True
eL-60.0 gnaps4.2,18.5,3.172259376851536e-12,True
eL-55.0 gnaps4.2,14.49,1.2821242584546972e-10,True
eL-60.0 gnaps2.4,7.856,7.01343145374688e-07,True
eL-60.0 gnaps3.6,18.94,2.211950084540994e-12,True
eL-65.0 gnaps1.8,0.9703,0.34633752432310283,False
eL-65.0 gnaps2.4,1.102,0.2867630778309188,False
eL-50.0 gnaps1.8,8.173,4.196745109331845e-07,True
eL-55.0 gnaps3.6,16.16,2.487939872121254e-11,True
eL-55.0 gnaps3.0,16.42,1.953845460693271e-11,True
eL-55.0 gnaps2.4,21.61,2.8908815040533923e-13,True
eL-65.0 gnaps3.6,7.251,1.9374740280928406e-06,True
