,TB vs Yan t,TB vs Yan real p,TB vs Yan p_lessthan_alpha
eL-65.0 gnaps4.2,35.76,1.0737315532853189e-16,True
eL-50.0 gnaps2.4,4.852,0.00017660373462123884,True
eL-65.0 gnaps3.0,6.975,3.130270175234607e-06,True
eL-60.0 gnaps1.8,0.1397,0.8906404477628431,False
eL-55.0 gnaps1.8,22.59,1.452406680525716e-13,True
eL-60.0 gnaps3.0,25.3,2.4837681237106486e-14,True
eL-60.0 gnaps4.2,36.04,9.49132996673707e-17,True
eL-55.0 gnaps4.2,0.8056,0.4322837724816364,False
eL-60.0 gnaps2.4,22.34,1.7265234487907353e-13,True
eL-60.0 gnaps3.6,14.4,1.4070549471154598e-10,True
eL-65.0 gnaps1.8,2.045,0.05766623849478619,False
eL-65.0 gnaps2.4,6.375,9.20536019896422e-06,True
eL-50.0 gnaps1.8,4.64,0.0002724048137080068,True
eL-55.0 gnaps3.6,0.1806,0.8589492951110063,False
eL-55.0 gnaps3.0,1.033,0.3169663260005078,False
eL-55.0 gnaps2.4,5.603,3.9640035021159956e-05,True
eL-65.0 gnaps3.6,19.43,1.493745954246736e-12,True
