,Yan vs TB t,Yan vs TB real p,Yan vs TB p_lessthan_alpha
eL-65.0 gnaps4.2,194.1,8.522056321026594e-33,True
eL-50.0 gnaps2.4,6.686,2.1577891712536314e-06,True
eL-50.0 gnaps3.0,7.318,6.132479136741806e-07,True
eL-65.0 gnaps2.4,10.94,1.2148936172194093e-09,True
eL-50.0 gnaps3.6,8.242,1.0735074776664838e-07,True
eL-55.0 gnaps1.8,5.69,1.744199198527552e-05,True
eL-55.0 gnaps3.6,9.508,1.1787970111236727e-08,True
eL-60.0 gnaps3.0,8.282,9.980421059285414e-08,True
eL-60.0 gnaps4.2,1.981,0.06225326507006374,False
eL-55.0 gnaps4.2,10.35,3.015339611783969e-09,True
eL-60.0 gnaps2.4,9.028,2.6609228726191187e-08,True
eL-60.0 gnaps3.6,13.68,2.7500544700158812e-11,True
eL-65.0 gnaps3.0,55.71,1.6154692163977988e-22,True
eL-65.0 gnaps1.8,4.698,0.00015662753637546228,True
eL-60.0 gnaps1.8,1.951,0.06596163111687701,False
eL-50.0 gnaps1.8,5.727,1.6103272772438326e-05,True
eL-50.0 gnaps4.2,9.098,2.35891672992799e-08,True
eL-55.0 gnaps3.0,8.247,1.0637586500770574e-07,True
eL-55.0 gnaps2.4,6.913,1.3647981800420643e-06,True
eL-65.0 gnaps3.6,162.4,2.517946504810655e-31,True
