,TB vs Yan t,TB vs Yan real p,TB vs Yan p_lessthan_alpha
eL-65.0 gnaps4.2,7.023,2.8775752168346778e-06,True
eL-50.0 gnaps2.4,17.91,5.209362322641028e-12,True
eL-65.0 gnaps3.0,0.06769,0.9468710923829522,False
eL-60.0 gnaps1.8,0.1015,0.9204146606494489,False
eL-55.0 gnaps1.8,5.635,3.7253167944092454e-05,True
eL-60.0 gnaps3.0,3.875,0.0013426697543705362,False
eL-60.0 gnaps4.2,44.33,3.566860431906322e-18,True
eL-55.0 gnaps4.2,14.74,9.92868614544465e-11,True
eL-60.0 gnaps2.4,1.523,0.14727752553443976,False
eL-60.0 gnaps3.6,5.584,4.113157653411863e-05,True
eL-65.0 gnaps1.8,1.421,0.17451319600620238,False
eL-65.0 gnaps2.4,0.06768,0.9468789285155389,False
eL-50.0 gnaps1.8,14.22,1.6971957182708887e-10,True
eL-55.0 gnaps3.6,13.52,3.589438162573132e-10,True
eL-55.0 gnaps3.0,10.39,1.608886837667511e-08,True
eL-55.0 gnaps2.4,8.343,3.203099384507213e-07,True
eL-65.0 gnaps3.6,6.701,5.091644133261563e-06,True
