,TB vs Yan t,TB vs Yan real p,TB vs Yan p_lessthan_alpha
eL-65.0 gnaps4.2,0.206,0.8393892541736827,False
eL-50.0 gnaps2.4,22.61,1.4325684094934457e-13,True
eL-65.0 gnaps3.0,0.02591,0.9796495323197221,False
eL-60.0 gnaps1.8,0.007347,0.9942288216443165,False
eL-55.0 gnaps1.8,0.07587,0.9404630986928072,False
eL-60.0 gnaps3.0,0.1596,0.8751935626505816,False
eL-60.0 gnaps4.2,81.8,2.0614302637424605e-22,True
eL-55.0 gnaps4.2,0.1299,0.8982646227291098,False
eL-60.0 gnaps2.4,0.08264,0.935162835218112,False
eL-60.0 gnaps3.6,0.1346,0.8946067973800066,False
eL-65.0 gnaps1.8,0.0006115,0.9995196530469439,False
eL-65.0 gnaps2.4,0.003833,0.9969891002406502,False
eL-50.0 gnaps1.8,22.64,1.403348068182121e-13,True
eL-55.0 gnaps3.6,0.1506,0.8821735333147429,False
eL-55.0 gnaps3.0,0.186,0.8547824432798334,False
eL-55.0 gnaps2.4,0.2231,0.8262810173226879,False
eL-65.0 gnaps3.6,0.1101,0.9136992283544763,False
