,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-50.0 gnaps1.8 vs eL-50.0 gnaps2.4,35.51,0.0,2.37857881358295e-70,1.0,True,False
eL-50.0 gnaps1.8 vs eL-55.0 gnaps1.8,134.6,10.64,9.916849667366116e-146,1.4125689108646153e-19,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps2.4,82.55,19.43,2.0221786238812087e-117,6.208635274390569e-41,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps3.0,42.4,24.51,6.791621628709677e-80,1.4890485489018485e-51,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps3.6,19.39,28.06,7.6239126951833e-41,3.4389379778411276e-58,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps4.2,2.319,30.35,0.021896636314081067,3.647694489148682e-62,False,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps1.8,148.6,4.075,1.712338820967138e-151,7.810089676179861e-05,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps2.4,142.9,6.784,3.2538198107893193e-149,3.3500594143579707e-10,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps3.0,117.7,13.33,6.258365547000113e-138,2.156535211355218e-26,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps3.6,83.54,18.67,4.1705528875387494e-118,3.179980067648824e-39,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps4.2,155.1,21.95,5.4707977130983256e-154,2.245895642320542e-46,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps1.8,152.9,3.618,3.7232843436286073e-153,0.0004184995559828107,True,False
eL-50.0 gnaps1.8 vs eL-65.0 gnaps2.4,149.6,4.168,6.961776551094705e-152,5.457530521896122e-05,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps3.0,145.9,4.777,2.004748937673834e-150,4.5756318732801745e-06,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps3.6,140.8,6.958,2.369424678824221e-148,1.3571867966315015e-10,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps4.2,132.9,10.16,5.44556740708814e-145,2.3138067085971278e-18,True,True
