,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-50.0 gnaps1.8 vs eL-50.0 gnaps2.4,23.91,0.0,2.2694057692587056e-50,1.0,True,False
eL-50.0 gnaps1.8 vs eL-55.0 gnaps1.8,87.95,19.1,4.5514669738739095e-121,3.3991355827971534e-40,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps2.4,53.41,13.2,1.1451119767021098e-92,4.578170550110493e-26,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps3.0,26.4,9.754,3.66790916666464e-55,2.4343894881431266e-17,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps3.6,10.91,7.355,2.917901484683743e-20,1.6657521854677228e-11,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps4.2,0.5641,5.807,0.5736220357590542,4.337949372805278e-08,False,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps1.8,97.27,23.49,6.983206015866785e-127,1.5669567178672617e-49,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps2.4,93.39,21.66,1.570200970401566e-124,9.119318351775893e-46,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps3.0,76.46,17.23,5.0758157658850186e-113,6.713271576830704e-36,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps3.6,53.74,13.67,5.17387678051908e-93,3.0267360683447353e-27,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps4.2,5.756,11.48,5.5309169168427274e-08,1.0398328421504356e-21,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps1.8,100.1,23.8,1.5326314021839624e-128,3.756675250872551e-50,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps2.4,97.9,23.43,2.956633553028742e-127,2.0686368612265575e-49,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps3.0,95.47,23.02,8.386784743453759e-126,1.3964391432688204e-48,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps3.6,92.05,21.54,1.0722306337445769e-123,1.6334939383611677e-45,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps4.2,86.7,19.37,3.0403121775987355e-120,8.448929920246428e-41,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps1.8,111.9,19.1,5.3625133555664655e-135,3.3991355827971534e-40,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps2.4,77.39,13.2,1.0289092729595682e-113,4.578170550110493e-26,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps3.0,50.38,9.754,2.092038121779667e-89,2.4343894881431266e-17,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps3.6,34.9,7.355,1.964060177690561e-69,1.6657521854677228e-11,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps4.2,23.42,5.807,2.166741455965493e-49,4.337949372805278e-08,True,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps1.8,121.3,23.49,1.1130201231880343e-139,1.5669567178672617e-49,True,True
