,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-50.0 gnaps1.8 vs eL-50.0 gnaps2.4,1.345,0.0,0.18088039161564123,1.0,False,False
eL-50.0 gnaps1.8 vs eL-55.0 gnaps1.8,36.86,6.887,2.4647282499162e-72,1.9646893773685117e-10,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps2.4,7.08,4.875,7.16021014084867e-11,3.008707938664988e-06,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps3.0,1.706,4.747,0.09030764277646194,5.196553838897513e-06,False,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps3.6,1.53,4.909,0.12835659363733273,2.598167712151477e-06,False,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps4.2,2.596,5.173,0.010475523688731657,8.140503733615728e-07,False,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps1.8,57.34,13.6,1.1768085436432036e-96,4.531730455643077e-27,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps2.4,61.26,10.75,2.1683921489755802e-100,7.431633360266965e-20,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps3.0,39.0,6.799,2.317984408733877e-75,3.100265034977745e-10,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps3.6,20.19,5.555,1.3038768264975737e-42,1.424136364481652e-07,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps4.2,40.56,5.275,1.7585045183607694e-77,5.1478452518136e-07,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps1.8,59.45,13.63,1.0767870454726368e-98,3.811723419335252e-27,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps2.4,75.91,15.54,1.3158931073830386e-112,7.322984200843421e-32,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps3.0,84.39,16.77,1.090774017966913e-118,8.164268850995731e-35,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps3.6,86.82,15.21,2.5307203365013954e-120,4.666182313144564e-31,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps4.2,87.91,12.83,4.834684500307345e-121,3.92232372851947e-25,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps1.8,35.51,6.887,2.37857881358295e-70,1.9646893773685117e-10,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps2.4,5.73,4.875,6.257337886136283e-08,3.008707938664988e-06,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps3.0,0.3566,4.747,0.7219480178100846,5.196553838897513e-06,False,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps3.6,0.1811,4.909,0.8565606926017619,2.598167712151477e-06,False,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps4.2,1.247,5.173,0.21455661458720174,8.140503733615728e-07,False,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps1.8,55.99,13.6,2.5799954557776225e-95,4.531730455643077e-27,True,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps2.4,59.91,10.75,3.950079469675742e-99,7.431633360266965e-20,True,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps3.0,37.65,6.799,1.8108915541257477e-73,3.100265034977745e-10,True,True
