,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-50.0 gnaps1.8 vs eL-50.0 gnaps2.4,3.624,3.248,0.00037280325143729476,0.0013753202119594894,False,False
eL-50.0 gnaps1.8 vs eL-50.0 gnaps3.0,6.519,5.769,6.275936519402105e-10,3.211515200036177e-08,True,True
eL-50.0 gnaps1.8 vs eL-50.0 gnaps3.6,8.705,8.027,1.558688919800114e-15,1.0344138800090228e-13,True,True
eL-50.0 gnaps1.8 vs eL-50.0 gnaps4.2,10.38,9.841,2.915532791061782e-20,1.0353537512095612e-18,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps1.8,0.9913,1.177,0.322806524812553,0.2406756516418066,False,False
eL-50.0 gnaps1.8 vs eL-55.0 gnaps2.4,3.891,6.173,0.00013825212680284188,4.001019370519959e-09,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps3.0,7.909,10.44,2.1133762839715106e-13,1.9532799932912896e-20,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps3.6,11.03,13.79,3.6965417162787046e-22,2.1738099426029423e-30,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps4.2,13.49,16.22,1.727726237764439e-29,1.2192972144947249e-37,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps1.8,0.7646,1.033,0.44546335803267934,0.3029239020795516,False,False
eL-50.0 gnaps1.8 vs eL-60.0 gnaps2.4,6.395,8.638,1.2275341807931082e-09,2.3745539140837795e-15,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps3.0,16.34,19.46,5.390471454169913e-38,5.151488847591787e-47,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps3.6,20.52,28.49,5.621696721222041e-50,2.5456584005089406e-70,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps4.2,24.52,19.53,1.2873360711874252e-60,3.2702654273997953e-47,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps1.8,5.028,6.464,1.146445897639489e-06,8.459015970814232e-10,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps2.4,40.62,54.87,2.5670773705342736e-95,4.664567982739537e-118,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps3.0,70.61,131.6,8.59107281667757e-138,8.059087930044952e-188,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps3.6,22.07,193.4,3.3417868526364333e-54,3.4892210821307064e-219,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps4.2,21.68,178.5,3.7600162905389096e-53,1.2237597000190954e-212,True,True
eL-50.0 gnaps2.4 vs eL-50.0 gnaps3.0,2.926,2.563,0.0038543536594050605,0.011155488924922262,False,False
eL-50.0 gnaps2.4 vs eL-50.0 gnaps3.6,5.144,4.9,6.69746691941213e-07,2.054079258772578e-06,True,True
eL-50.0 gnaps2.4 vs eL-50.0 gnaps4.2,6.851,6.795,1.0037108900196634e-10,1.372379618772359e-10,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps1.8,3.632,1.416,0.0003621665684064052,0.15842138760266736,False,False
eL-50.0 gnaps2.4 vs eL-55.0 gnaps2.4,1.107,3.581,0.2697008583342349,0.00043520180196348875,False,False
eL-50.0 gnaps2.4 vs eL-55.0 gnaps3.0,5.044,7.911,1.065061602985692e-06,2.0880255565397988e-13,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps3.6,8.115,11.35,6.052216397990925e-14,4.2184052134424203e-23,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps4.2,10.55,13.85,9.358406445178833e-21,1.4361128082354939e-30,True,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps1.8,1.574,3.55,0.1171599102446402,0.0004861470861871572,False,False
eL-50.0 gnaps2.4 vs eL-60.0 gnaps2.4,3.909,11.69,0.0001290631628569872,4.154357340486628e-24,True,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps3.0,13.89,17.39,1.089366246514757e-30,4.4787450168666844e-41,True,True
