,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-50.0 gnaps1.8 vs eL-50.0 gnaps2.4,1.258,2.26,0.2099437360075838,0.02496202877303978,False,False
eL-50.0 gnaps1.8 vs eL-50.0 gnaps3.0,2.1,3.786,0.037055885161773654,0.000205514106689486,False,True
eL-50.0 gnaps1.8 vs eL-50.0 gnaps3.6,2.717,4.855,0.0071995447533796655,2.5151337704870615e-06,False,True
eL-50.0 gnaps1.8 vs eL-50.0 gnaps4.2,3.197,5.629,0.0016279747047519752,6.470429510814805e-08,False,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps1.8,10.29,7.911,5.310841681676338e-20,2.0880255565397988e-13,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps2.4,7.221,4.784,1.2260264840877296e-11,3.452598911952155e-06,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps3.0,4.985,2.365,1.3961909125588475e-06,0.01904332454111462,True,False
eL-50.0 gnaps1.8 vs eL-55.0 gnaps3.6,3.284,0.6713,0.0012194731334097208,0.5028490607270504,False,False
eL-50.0 gnaps1.8 vs eL-55.0 gnaps4.2,2.049,0.7374,0.04184411221785451,0.46179360796396607,False,False
eL-50.0 gnaps1.8 vs eL-60.0 gnaps1.8,13.95,10.27,7.197230403517378e-31,6.066794744577172e-20,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps2.4,10.32,6.806,4.349245206874107e-20,1.2907325147309607e-10,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps3.0,7.731,3.005,6.15004781024777e-13,0.0030160609530850103,True,False
eL-50.0 gnaps1.8 vs eL-60.0 gnaps3.6,6.208,1.305,3.326656172830932e-09,0.1934794518367246,True,False
eL-50.0 gnaps1.8 vs eL-60.0 gnaps4.2,5.013,0.2524,1.228200631872546e-06,0.8010061791100649,True,False
eL-50.0 gnaps1.8 vs eL-65.0 gnaps1.8,15.59,12.6,8.998310881728479e-36,8.043651575752958e-27,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps2.4,11.82,8.006,1.7077394437618887e-24,1.175089460338711e-13,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps3.0,9.118,5.169,1.1315611048626558e-16,5.958232776014276e-07,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps3.6,5.922,2.907,1.4747697033706141e-08,0.00408551445901346,True,False
