,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-50.0 gnaps1.8 vs eL-50.0 gnaps2.4,23.52,0.0,1.3639984030581244e-49,1.0,True,False
eL-50.0 gnaps1.8 vs eL-55.0 gnaps1.8,44.29,8.161,2.78852069509242e-82,2.0625538029353776e-13,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps2.4,31.71,10.56,2.022451983183074e-64,2.2528769336964577e-19,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps3.0,18.56,12.93,5.655248916159534e-39,2.193316067197836e-25,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps3.6,6.671,15.29,5.990790456533959e-10,2.9753786119122773e-31,True,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps4.2,5.594,17.4,1.18713148512476e-07,2.683673075019383e-36,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps1.8,51.37,6.187,1.721017938916845e-90,6.846974076621362e-09,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps2.4,40.43,8.124,2.6251195674571483e-77,2.5317515193457897e-13,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps3.0,22.7,10.06,6.287409436204787e-48,4.13591957354064e-18,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps3.6,11.61,11.53,4.859459609196391e-22,7.760553960464844e-22,True,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps4.2,53.89,12.89,3.610947567440248e-93,2.767267811430454e-25,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps1.8,56.98,5.516,2.6632898118439383e-96,1.7072116115057346e-07,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps2.4,44.66,7.233,9.73979799468814e-83,3.1899687531941183e-11,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps3.0,33.71,8.949,1.316065524885917e-67,2.4643845240152697e-15,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps3.6,22.12,11.8,9.925454567243095e-47,1.5989353253123317e-22,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps4.2,5.136,14.51,9.599866440889643e-07,2.4571103110472773e-29,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps1.8,67.88,8.161,3.220914329709232e-106,2.0625538029353776e-13,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps2.4,55.29,10.56,1.3141460679831545e-94,2.2528769336964577e-19,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps3.0,42.15,12.93,1.4273064462251233e-79,2.193316067197836e-25,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps3.6,30.26,15.29,5.175895186321838e-62,2.9753786119122773e-31,True,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps4.2,17.99,17.4,1.144271308589215e-37,2.683673075019383e-36,True,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps1.8,74.96,6.187,6.927938992109239e-112,6.846974076621362e-09,True,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps2.4,64.01,8.124,7.02523951910853e-103,2.5317515193457897e-13,True,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps3.0,46.28,10.06,1.06327960023274e-84,4.13591957354064e-18,True,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps3.6,35.2,11.53,6.928715836521689e-70,7.760553960464844e-22,True,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps4.2,81.07,12.89,2.2165638232469918e-116,2.767267811430454e-25,True,True
eL-50.0 gnaps2.4 vs eL-65.0 gnaps1.8,80.56,5.516,5.107851711227336e-116,1.7072116115057346e-07,True,True
eL-50.0 gnaps2.4 vs eL-65.0 gnaps2.4,68.25,7.233,1.5784348353520248e-106,3.1899687531941183e-11,True,True
eL-50.0 gnaps2.4 vs eL-65.0 gnaps3.0,57.3,8.949,1.2882994981467215e-96,2.4643845240152697e-15,True,True
eL-50.0 gnaps2.4 vs eL-65.0 gnaps3.6,45.71,11.8,5.128206223081245e-84,1.5989353253123317e-22,True,True
eL-50.0 gnaps2.4 vs eL-65.0 gnaps4.2,28.72,14.51,2.3308937100541403e-59,2.4571103110472773e-29,True,True
eL-55.0 gnaps1.8 vs eL-55.0 gnaps2.4,12.62,15.33,1.3315700891279377e-24,2.376501604549763e-31,True,True
eL-55.0 gnaps1.8 vs eL-55.0 gnaps3.0,25.81,30.56,4.6991744475163803e-54,1.6170875035501428e-62,True,True
eL-55.0 gnaps1.8 vs eL-55.0 gnaps3.6,37.74,45.62,1.3488577456950988e-73,6.584802780933225e-84,True,True
eL-55.0 gnaps1.8 vs eL-55.0 gnaps4.2,50.04,59.14,4.98371820824512e-89,2.1252046919872308e-98,True,True
