,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-50.0 gnaps1.8 vs eL-50.0 gnaps2.4,0.2196,0.0,0.8265143878299636,1.0,False,False
eL-50.0 gnaps1.8 vs eL-55.0 gnaps1.8,1.325,22.42,0.18740945168381598,2.3697631399459803e-47,False,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps2.4,1.279,22.41,0.20309118764864043,2.485204292260772e-47,False,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps3.0,1.533,22.37,0.12761601077840873,3.006382334809148e-47,False,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps3.6,1.708,22.35,0.0899347994095358,3.3068719710023167e-47,False,True
eL-50.0 gnaps1.8 vs eL-55.0 gnaps4.2,1.824,22.33,0.07036365901798802,3.6375751182224773e-47,False,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps1.8,1.359,22.43,0.17641267892469495,2.259712211438429e-47,False,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps2.4,1.398,22.41,0.1644057851504622,2.485204292260772e-47,False,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps3.0,1.553,22.37,0.12276434673920597,3.006382334809148e-47,False,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps3.6,1.565,22.38,0.11992401860519297,2.8665904879054884e-47,False,True
eL-50.0 gnaps1.8 vs eL-60.0 gnaps4.2,83.37,22.38,5.4622255682720075e-118,2.8665904879054884e-47,True,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps1.8,1.362,22.43,0.17546622443899593,2.259712211438429e-47,False,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps2.4,1.359,22.43,0.17641267892469495,2.259712211438429e-47,False,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps3.0,1.361,22.42,0.1757812827649057,2.3697631399459803e-47,False,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps3.6,1.376,22.41,0.17110002789111545,2.485204292260772e-47,False,True
eL-50.0 gnaps1.8 vs eL-65.0 gnaps4.2,1.439,22.38,0.15246504995093424,2.8665904879054884e-47,False,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps1.8,1.104,22.42,0.2715570549628315,2.3697631399459803e-47,False,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps2.4,1.059,22.41,0.29149090618953877,2.485204292260772e-47,False,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps3.0,1.313,22.37,0.19141044440488786,3.006382334809148e-47,False,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps3.6,1.487,22.35,0.13934668587157797,3.3068719710023167e-47,False,True
eL-50.0 gnaps2.4 vs eL-55.0 gnaps4.2,1.604,22.33,0.11105104148562563,3.6375751182224773e-47,False,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps1.8,1.139,22.43,0.2567202282428293,2.259712211438429e-47,False,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps2.4,1.178,22.41,0.240868992007529,2.485204292260772e-47,False,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps3.0,1.333,22.37,0.18477702037917862,3.006382334809148e-47,False,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps3.6,1.345,22.38,0.18088039161564123,2.8665904879054884e-47,False,True
eL-50.0 gnaps2.4 vs eL-60.0 gnaps4.2,83.12,22.38,8.130281269212176e-118,2.8665904879054884e-47,True,True
eL-50.0 gnaps2.4 vs eL-65.0 gnaps1.8,1.142,22.43,0.25547549927162777,2.259712211438429e-47,False,True
eL-50.0 gnaps2.4 vs eL-65.0 gnaps2.4,1.139,22.43,0.2567202282428293,2.259712211438429e-47,False,True
eL-50.0 gnaps2.4 vs eL-65.0 gnaps3.0,1.141,22.42,0.25588993679042266,2.3697631399459803e-47,False,True
eL-50.0 gnaps2.4 vs eL-65.0 gnaps3.6,1.156,22.41,0.24972286856916434,2.485204292260772e-47,False,True
