,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency
-50.0eL 1.8gnaps,count,225.0,225.0,225.0,225,224.0,224.0,225.0,225.0,225.0,225.0,225.0,225.0
-50.0eL 1.8gnaps,mean,420.4627744995556,423.037541916889,2.574767417333335,0.0,1.1635586209821416,3.7414995526785715,65.33333333333333,5.649705580041737,422.563996,2.101221500444464,0.47354591688887093,25.32435601937736
-50.0eL 1.8gnaps,std,242.7661229999913,242.73802253164448,0.20228717241981675,0.0,0.010052850419313171,0.18699581065373072,8.043409014306594,0.031048708117745617,242.78149841477693,0.16775568249598377,0.3500411830471027,0.8975156927521533
-50.0eL 1.8gnaps,min,0.0295,5.5434007,1.8639002000001028,False,1.0138000999999992,3.726100400000001,26.0,5.5620588900109205,0.031900000000000005,0.0024000000000000063,0.05060000000003129,13.94924470741436
-50.0eL 1.8gnaps,25%,211.65002520000002,214.21482550000002,2.564800299999888,0.0,1.1642001000000164,3.729000400000018,65.0,5.633423282133303,213.747,2.0785664000000565,0.4678352999999902,25.343103710647554
-50.0eL 1.8gnaps,50%,420.4751501,423.03995039999995,2.5648003000000017,0.0,1.1642002000000105,3.7290004999999837,65.0,5.6537636277377405,422.57210000000003,2.09687390000002,0.4678791999999703,25.343103710647554
-50.0eL 1.8gnaps,75%,629.3002749,631.8650752,2.5648003000000017,0.0,1.1643000999999913,3.7290005000000406,65.0,5.672647909849143,631.3972,2.0969522000000325,0.4862272999999959,25.343103710648677
-50.0eL 1.8gnaps,max,838.1253998,839.9893000000001,5.513900700000001,False,1.1643002000000706,6.5277008,179.0,5.846377856002871,839.9387,2.4703850000000074,5.5115007,32.463406531786106
-50.0eL 2.4gnaps,count,225.0,225.0,225.0,225,224.0,224.0,225.0,225.0,225.0,225.0,225.0,225.0
-50.0eL 2.4gnaps,mean,420.00233133422216,423.1122441475555,3.109912813333333,0.0,0.6260188258928567,3.7394638379464284,82.41777777777777,5.637222820337429,422.4753626666667,2.4730313324444655,0.6368814808888676,26.446425384080154
-50.0eL 2.4gnaps,std,242.76256542314664,242.7373223938722,0.16292939727664407,0.0,0.00577971353005814,0.15405181093823056,9.437465441963417,0.04269585966729205,242.75797691515626,0.23768657677015606,0.3609746144050328,1.1016416333068373
-50.0eL 2.4gnaps,min,0.023,5.4336006,2.318700300000046,False,0.5545001000000003,3.7230004,40.0,5.572901062052512,0.0252,0.0022000000000000006,0.34809999999993124,17.25104361266491
-50.0eL 2.4gnaps,25%,211.1875251,214.2898255,3.102300299999996,0.0,0.6267000999999937,3.729000400000018,82.0,5.60347502106539,213.2041,2.5324984000000015,0.5441624000000047,26.431998654933633
-50.0eL 2.4gnaps,50%,420.01265,423.1149504,3.10230039999999,0.0,0.6267000999999937,3.7290004999999837,82.0,5.645232285471697,422.553,2.5403296000000637,0.5619303999999659,26.431998654933693
-50.0eL 2.4gnaps,75%,628.8377749,631.9400751999999,3.102300399999997,0.0,0.62680000000001,3.7290005000000406,82.0,5.668682246677487,631.3781,2.558138000000099,0.5848072999999943,26.43199950694654
-50.0eL 2.4gnaps,max,837.6628996999999,839.9816,5.4106006,False,0.6268001000000822,6.0342007,217.0,5.971833851831626,839.6335,2.5827993000000005,5.4084006,40.10645324661369
-55.0eL 1.8gnaps,count,225.0,225.0,225.0,225,224.0,224.0,225.0,225.0,225.0,225.0,225.0,225.0
-55.0eL 1.8gnaps,mean,418.64921561733325,419.24465702133324,0.5954414039999991,0.0,3.1338155517857156,3.729258033482143,34.004444444444445,5.7304585645897115,418.83003244444444,0.1808168271111309,0.4146245768888681,57.1100700629456
-55.0eL 1.8gnaps,std,242.7448411302706,242.7443322552574,0.004450666857251635,0.0,0.000808052845927552,0.0036543317091144046,0.06666666666696117,0.03329184606279099,242.74638141137567,0.020471097301115918,0.023320833263100006,0.2834373752077892
-55.0eL 1.8gnaps,min,0.9456000999999999,1.6075002,0.5949000000000009,False,3.1218003999999993,3.728400399999999,34.0,5.660812384012583,0.9483,0.0026999000000000883,0.3959036999999981,52.87807027072514
-55.0eL 1.8gnaps,25%,209.824425,210.41962510000002,0.5951000999999678,0.0,3.133800400000041,3.729000400000018,34.0,5.705843449803022,210.02370000000002,0.15779770000000326,0.3959686000000602,57.12364631659718
-55.0eL 1.8gnaps,50%,418.6494498,419.2445499,0.5951001000000815,0.0,3.133900399999902,3.729000499999927,34.0,5.735170385483247,418.8321,0.1826582000000485,0.4124520999999959,57.13324531451993
-55.0eL 1.8gnaps,75%,627.4744747,628.0695747999999,0.5952000999999427,0.0,3.133900400000016,3.7290005000000406,34.0,5.761221607887037,627.6322,0.19923149999999623,0.4373125999999985,57.133245314530846
-55.0eL 1.8gnaps,max,836.2993996,836.8945996,0.6619001000000001,False,3.1339004000001296,3.7837004999999992,35.0,5.771085777527538,836.4986,0.19929630000000387,0.6592002,57.15246259875601
-55.0eL 2.4gnaps,count,226.0,226.0,226.0,226,225.0,225.0,226.0,226.0,226.0,226.0,226.0,226.0
-55.0eL 2.4gnaps,mean,419.7317442154868,421.09829747610604,1.3665532606194688,0.0,2.3601465026666664,3.7296804440000004,42.924778761061944,5.740632699266897,420.69331637168136,0.961572156194709,0.40498110442475993,31.363978997830205
