Parameter,,,,
Table Analyzed,Interburst Interval inv,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,1.75,< 0.0001,,
  Model,1.57,< 0.0001,,
  Parameters,93.75,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,***,Yes,,
  Model,***,Yes,,
  Parameters,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,14,30.98,2.213,104.2
  Model,1,27.92,27.92,1315
  Parameters,14,1664,118.9,5599
  Residual,2450,52.02,0.02123,
,,,,
Number of missing values,2320,,,
,,,,
Bonferroni posttests,,,,
,,,,
TB vs Yan,,,,
Parameters,TB,Yan,Difference,95% CI of diff.
  eL=-55.0 gnaps=1.8,3.134,2.716,-0.4180,-0.4856 to -0.3503
  eL=-55.0 gnaps=2.4,2.360,1.877,-0.4829,-0.5506 to -0.4152
  eL=-55.0 gnaps=3.0,1.754,1.387,-0.3670,-0.4347 to -0.2993
  eL=-55.0 gnaps=3.6,1.407,1.046,-0.3611,-0.4287 to -0.2934
  eL=-55.0 gnaps=4.2,1.150,0.8258,-0.3239,-0.3916 to -0.2562
  eL=-60.0 gnaps=1.8,3.343,3.341,-0.001943,-0.06964 to 0.06575
  eL=-60.0 gnaps=2.4,3.256,3.080,-0.1756,-0.2433 to -0.1079
  eL=-60.0 gnaps=3.0,2.876,2.451,-0.4253,-0.4930 to -0.3576
  eL=-60.0 gnaps=3.6,2.367,1.944,-0.4232,-0.4909 to -0.3555
  eL=-60.0 gnaps=4.2,1.274,1.632,0.3581,0.2995 to 0.4167
  eL=-65.0 gnaps=1.8,3.406,3.384,-0.02168,-0.08938 to 0.04601
  eL=-65.0 gnaps=2.4,3.357,3.332,-0.02462,-0.09232 to 0.04307
  eL=-65.0 gnaps=3.0,3.302,3.274,-0.02894,-0.09663 to 0.03875
  eL=-65.0 gnaps=3.6,3.226,3.064,-0.1620,-0.2297 to -0.09434
  eL=-65.0 gnaps=4.2,3.106,2.755,-0.3507,-0.4184 to -0.2830
,,,,
,,,,
,,,,
Parameters,Difference,t,P value,Summary
  eL=-55.0 gnaps=1.8,-0.4180,18.14,P<0.001,***
  eL=-55.0 gnaps=2.4,-0.4829,20.96,P<0.001,***
  eL=-55.0 gnaps=3.0,-0.3670,15.93,P<0.001,***
  eL=-55.0 gnaps=3.6,-0.3611,15.67,P<0.001,***
  eL=-55.0 gnaps=4.2,-0.3239,14.06,P<0.001,***
  eL=-60.0 gnaps=1.8,-0.001943,0.08433,P > 0.05,ns
  eL=-60.0 gnaps=2.4,-0.1756,7.620,P<0.001,***
  eL=-60.0 gnaps=3.0,-0.4253,18.46,P<0.001,***
  eL=-60.0 gnaps=3.6,-0.4232,18.37,P<0.001,***
  eL=-60.0 gnaps=4.2,0.3581,17.95,P<0.001,***
  eL=-65.0 gnaps=1.8,-0.02168,0.9411,P > 0.05,ns
  eL=-65.0 gnaps=2.4,-0.02462,1.069,P > 0.05,ns
  eL=-65.0 gnaps=3.0,-0.02894,1.256,P > 0.05,ns
  eL=-65.0 gnaps=3.6,-0.1620,7.033,P<0.001,***
  eL=-65.0 gnaps=4.2,-0.3507,15.22,P<0.001,***
