Parameter,,,,
Table Analyzed,Interburst Interval,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,2.11,< 0.0001,,
  Parameters,87.13,< 0.0001,,
  Model,1.80,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,***,Yes,,
  Parameters,***,Yes,,
  Model,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,16,12.22,0.7639,38.24
  Parameters,16,505.8,31.61,1583
  Model,1,10.42,10.42,521.9
  Residual,2606,52.05,0.01997,
,,,,
Number of missing values,2800,,,
,,,,
Bonferroni posttests,,,,
,,,,
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-50.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.162,0.6247,-0.5376,-0.6218 to -0.4534
  Yan,0.0000,0.0000,0.0000,-0.7486 to 0.7486
,,,,
Model,Difference,t,P value,Summary
  TB,-0.5376,23.91,P<0.001,***
  Yan,0.0000,0.0000,P > 0.05,ns
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.162,3.134,1.971,1.887 to 2.055
  Yan,0.0000,2.716,2.716,2.183 to 3.248
,,,,
Model,Difference,t,P value,Summary
  TB,1.971,87.95,P<0.001,***
  Yan,2.716,19.10,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.162,2.360,1.197,1.113 to 1.281
  Yan,0.0000,1.877,1.877,1.344 to 2.409
,,,,
Model,Difference,t,P value,Summary
  TB,1.197,53.41,P<0.001,***
  Yan,1.877,13.20,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.162,1.754,0.5918,0.5079 to 0.6758
  Yan,0.0000,1.387,1.387,0.8545 to 1.920
,,,,
Model,Difference,t,P value,Summary
  TB,0.5918,26.40,P<0.001,***
  Yan,1.387,9.754,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.162,1.407,0.2447,0.1607 to 0.3286
  Yan,0.0000,1.046,1.046,0.5132 to 1.579
,,,,
Model,Difference,t,P value,Summary
  TB,0.2447,10.91,P<0.001,***
  Yan,1.046,7.355,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.162,1.150,-0.01265,-0.09661 to 0.07132
  Yan,0.0000,0.8258,0.8258,0.2931 to 1.358
,,,,
Model,Difference,t,P value,Summary
  TB,-0.01265,0.5641,P > 0.05,ns
  Yan,0.8258,5.807,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,,,,
