Parameter,,,,
Table Analyzed,Intraburst Freq,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,2.92,< 0.0001,,
  Parameters,76.72,< 0.0001,,
  Model,4.08,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,***,Yes,,
  Parameters,***,Yes,,
  Model,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,16,14060,878.8,29.62
  Parameters,16,368900,23060,777.2
  Model,1,19630,19630,661.6
  Residual,2638,78260,29.67,
,,,,
Number of missing values,2802,,,
,,,,
Bonferroni posttests,,,,
,,,,
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-50.0 gnaps=2.4,Difference,95% CI of diff.
  TB,25.43,26.59,1.158,-2.067 to 4.384
  Yan,0.0000,0.0000,0.0000,-28.85 to 28.85
,,,,
Model,Difference,t,P value,Summary
  TB,1.158,1.345,P > 0.05,ns
  Yan,0.0000,0.0000,P > 0.05,ns
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  TB,25.43,57.08,31.64,28.43 to 34.86
  Yan,0.0000,37.74,37.74,17.22 to 58.27
,,,,
Model,Difference,t,P value,Summary
  TB,31.64,36.86,P<0.001,***
  Yan,37.74,6.887,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  TB,25.43,31.51,6.078,2.863 to 9.294
  Yan,0.0000,26.72,26.72,6.188 to 47.24
,,,,
Model,Difference,t,P value,Summary
  TB,6.078,7.080,P<0.001,***
  Yan,26.72,4.875,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,25.43,26.90,1.465,-1.751 to 4.680
  Yan,0.0000,26.01,26.01,5.486 to 46.54
,,,,
Model,Difference,t,P value,Summary
  TB,1.465,1.706,P > 0.05,ns
  Yan,26.01,4.747,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,25.43,26.75,1.314,-1.902 to 4.530
  Yan,0.0000,26.90,26.90,6.374 to 47.43
,,,,
Model,Difference,t,P value,Summary
  TB,1.314,1.530,P > 0.05,ns
  Yan,26.90,4.909,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,25.43,27.66,2.229,-0.9866 to 5.445
  Yan,0.0000,28.35,28.35,7.824 to 48.88
,,,,
Model,Difference,t,P value,Summary
  TB,2.229,2.596,P < 0.05,*
  Yan,28.35,5.173,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
