Parameter,,,,
Table Analyzed,Peaks_per_Burst,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,36.73,< 0.0001,,
  Parameters,38.21,< 0.0001,,
  Model,1.08,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,***,Yes,,
  Parameters,***,Yes,,
  Model,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,16,87110,5445,252.6
  Parameters,16,90610,5663,262.7
  Model,1,2563,2563,118.9
  Residual,2638,56870,21.56,
,,,,
Number of missing values,2802,,,
,,,,
Bonferroni posttests,,,,
,,,,
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-50.0 gnaps=2.4,Difference,95% CI of diff.
  TB,66.43,83.69,17.26,14.51 to 20.01
  Yan,0.0000,0.0000,0.0000,-24.59 to 24.59
,,,,
Model,Difference,t,P value,Summary
  TB,17.26,23.52,P<0.001,***
  Yan,0.0000,0.0000,P > 0.05,ns
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  TB,66.43,34.01,-32.41,-35.15 to -29.67
  Yan,0.0000,38.12,38.12,20.63 to 55.62
,,,,
Model,Difference,t,P value,Summary
  TB,-32.41,44.29,P<0.001,***
  Yan,38.12,8.161,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  TB,66.43,43.22,-23.20,-25.94 to -20.46
  Yan,0.0000,49.31,49.31,31.81 to 66.81
,,,,
Model,Difference,t,P value,Summary
  TB,-23.20,31.71,P<0.001,***
  Yan,49.31,10.56,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,66.43,52.84,-13.59,-16.33 to -10.84
  Yan,0.0000,60.42,60.42,42.92 to 77.92
,,,,
Model,Difference,t,P value,Summary
  TB,-13.59,18.56,P<0.001,***
  Yan,60.42,12.93,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,66.43,61.54,-4.882,-7.623 to -2.141
  Yan,0.0000,71.41,71.41,53.91 to 88.90
,,,,
Model,Difference,t,P value,Summary
  TB,-4.882,6.671,P<0.001,***
  Yan,71.41,15.29,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,66.43,70.52,4.094,1.352 to 6.835
  Yan,0.0000,81.27,81.27,63.77 to 98.77
,,,,
Model,Difference,t,P value,Summary
  TB,4.094,5.594,P<0.001,***
  Yan,81.27,17.40,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
