Parameter,,,,
Table Analyzed,Burst Duration inv,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,33.43,< 0.0001,,
  Model,0.05,< 0.0001,,
  Parameters,60.99,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,***,Yes,,
  Model,***,Yes,,
  Parameters,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,16,142.8,8.927,998.3
  Model,1,0.2125,0.2125,23.76
  Parameters,16,260.6,16.29,1821
  Residual,2638,23.59,0.008942,
,,,,
Number of missing values,2802,,,
,,,,
Bonferroni posttests,,,,
,,,,
TB vs Yan,,,,
Parameters,TB,Yan,Difference,95% CI of diff.
  eL=-50.0 gnaps=1.8,2.602,0.0000,-2.602,-2.885 to -2.318
  eL=-50.0 gnaps=2.4,3.133,0.0000,-3.133,-3.416 to -2.849
  eL=-55.0 gnaps=1.8,0.5960,1.012,0.4159,0.3717 to 0.4602
  eL=-55.0 gnaps=2.4,1.371,1.848,0.4771,0.4328 to 0.5213
  eL=-55.0 gnaps=3.0,1.970,2.332,0.3626,0.3184 to 0.4068
  eL=-55.0 gnaps=3.6,2.313,2.670,0.3572,0.3129 to 0.4014
  eL=-55.0 gnaps=4.2,2.567,2.888,0.3206,0.2763 to 0.3648
  eL=-60.0 gnaps=1.8,0.3859,0.3877,0.001737,-0.04249 to 0.04597
  eL=-60.0 gnaps=2.4,0.4720,0.6454,0.1734,0.1292 to 0.2177
  eL=-60.0 gnaps=3.0,0.8476,1.269,0.4212,0.3770 to 0.4654
  eL=-60.0 gnaps=3.6,1.356,1.776,0.4199,0.3757 to 0.4641
  eL=-60.0 gnaps=4.2,0.5957,2.089,1.493,1.455 to 1.531
  eL=-65.0 gnaps=1.8,0.3226,0.3442,0.02165,-0.02258 to 0.06588
  eL=-65.0 gnaps=2.4,0.3720,0.3965,0.02453,-0.01970 to 0.06876
  eL=-65.0 gnaps=3.0,0.4263,0.4546,0.02828,-0.01596 to 0.07251
  eL=-65.0 gnaps=3.6,0.5028,0.6621,0.1593,0.1151 to 0.2035
  eL=-65.0 gnaps=4.2,0.6209,0.9662,0.3454,0.3011 to 0.3896
,,,,
Parameters,Difference,t,P value,Summary
  eL=-50.0 gnaps=1.8,-2.602,27.34,P<0.001,***
  eL=-50.0 gnaps=2.4,-3.133,32.92,P<0.001,***
  eL=-55.0 gnaps=1.8,0.4159,27.99,P<0.001,***
  eL=-55.0 gnaps=2.4,0.4771,32.10,P<0.001,***
  eL=-55.0 gnaps=3.0,0.3626,24.40,P<0.001,***
  eL=-55.0 gnaps=3.6,0.3572,24.04,P<0.001,***
  eL=-55.0 gnaps=4.2,0.3206,21.57,P<0.001,***
  eL=-60.0 gnaps=1.8,0.001737,0.1169,P > 0.05,ns
  eL=-60.0 gnaps=2.4,0.1734,11.67,P<0.001,***
  eL=-60.0 gnaps=3.0,0.4212,28.34,P<0.001,***
  eL=-60.0 gnaps=3.6,0.4199,28.26,P<0.001,***
  eL=-60.0 gnaps=4.2,1.493,115.9,P<0.001,***
  eL=-65.0 gnaps=1.8,0.02165,1.457,P > 0.05,ns
  eL=-65.0 gnaps=2.4,0.02453,1.651,P > 0.05,ns
  eL=-65.0 gnaps=3.0,0.02828,1.903,P > 0.05,ns
  eL=-65.0 gnaps=3.6,0.1593,10.72,P<0.001,***
  eL=-65.0 gnaps=4.2,0.3454,23.24,P<0.001,***
