Parameter,,,,
Table Analyzed,Burst Duration,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,4.64,< 0.0001,,
  Parameters,90.53,< 0.0001,,
  Model,4.24,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,***,Yes,,
  Parameters,***,Yes,,
  Model,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,14,75.81,5.415,1381
  Parameters,14,1479,105.6,26940
  Model,1,69.23,69.23,17660
  Residual,2480,9.725,0.003921,
,,,,
Number of missing values,2320,,,
,,,,
Bonferroni posttests,,,,
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  TB,0.5960,1.371,0.7753,0.7391 to 0.8115
  Yan,1.012,1.848,0.8364,0.8002 to 0.8726
,,,,
Model,Difference,t,P value,Summary
  TB,0.7753,78.79,P<0.001,***
  Yan,0.8364,85.00,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,0.5960,1.970,1.374,1.337 to 1.410
  Yan,1.012,2.332,1.320,1.284 to 1.357
,,,,
Model,Difference,t,P value,Summary
  TB,1.374,139.6,P<0.001,***
  Yan,1.320,134.2,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.5960,2.313,1.717,1.681 to 1.753
  Yan,1.012,2.670,1.658,1.622 to 1.694
,,,,
Model,Difference,t,P value,Summary
  TB,1.717,174.5,P<0.001,***
  Yan,1.658,168.5,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.5960,2.567,1.971,1.935 to 2.007
  Yan,1.012,2.888,1.876,1.840 to 1.912
,,,,
Model,Difference,t,P value,Summary
  TB,1.971,200.3,P<0.001,***
  Yan,1.876,190.6,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,0.5960,0.3859,-0.2100,-0.2462 to -0.1738
  Yan,1.012,0.3877,-0.6242,-0.6604 to -0.5880
,,,,
Model,Difference,t,P value,Summary
  TB,-0.2100,21.34,P<0.001,***
  Yan,-0.6242,63.44,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,0.5960,0.4720,-0.1239,-0.1602 to -0.08773
  Yan,1.012,0.6454,-0.3665,-0.4027 to -0.3303
,,,,
Model,Difference,t,P value,Summary
  TB,-0.1239,12.60,P<0.001,***
  Yan,-0.3665,37.24,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
