Parameter,,,,
Table Analyzed,Intraburst Freq inv,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,2.92,< 0.0001,,
  model,4.08,< 0.0001,,
  params,76.72,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,***,Yes,,
  model,***,Yes,,
  params,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,16,14060,878.8,29.62
  model,1,19630,19630,661.6
  params,16,368900,23060,777.2
  Residual,2638,78260,29.67,
,,,,
Number of missing values,2802,,,
,,,,
Bonferroni posttests,,,,
,,,,
TB vs Yan,,,,
params,TB,Yan,Difference,95% CI of diff.
  eL=-50.0 gnaps=1.8,25.43,0.0000,-25.43,-41.75 to -9.119
  eL=-50.0 gnaps=2.4,26.59,0.0000,-26.59,-42.90 to -10.28
  eL=-55.0 gnaps=1.8,57.08,37.74,-19.33,-21.88 to -16.79
  eL=-55.0 gnaps=2.4,31.51,26.72,-4.796,-7.343 to -2.248
  eL=-55.0 gnaps=3.0,26.90,26.01,-0.8845,-3.432 to 1.663
  eL=-55.0 gnaps=3.6,26.75,26.90,0.1546,-2.393 to 2.702
  eL=-55.0 gnaps=4.2,27.66,28.35,0.6895,-1.858 to 3.237
  eL=-60.0 gnaps=1.8,74.66,74.54,-0.1195,-2.667 to 2.428
  eL=-60.0 gnaps=2.4,78.03,58.91,-19.12,-21.67 to -16.57
  eL=-60.0 gnaps=3.0,58.91,37.26,-21.65,-24.20 to -19.10
  eL=-60.0 gnaps=3.6,42.76,30.44,-12.32,-14.87 to -9.773
  eL=-60.0 gnaps=4.2,55.65,28.91,-26.74,-28.95 to -24.53
  eL=-65.0 gnaps=1.8,76.47,74.72,-1.751,-4.298 to 0.7969
  eL=-65.0 gnaps=2.4,90.60,85.15,-5.456,-8.004 to -2.909
  eL=-65.0 gnaps=3.0,97.89,91.92,-5.970,-8.517 to -3.422
  eL=-65.0 gnaps=3.6,99.97,83.34,-16.63,-19.18 to -14.08
  eL=-65.0 gnaps=4.2,100.9,70.30,-30.61,-33.15 to -28.06
,,,,
params,Difference,t,P value,Summary
  eL=-50.0 gnaps=1.8,-25.43,4.640,P<0.001,***
  eL=-50.0 gnaps=2.4,-26.59,4.852,P<0.001,***
  eL=-55.0 gnaps=1.8,-19.33,22.59,P<0.001,***
  eL=-55.0 gnaps=2.4,-4.796,5.603,P<0.001,***
  eL=-55.0 gnaps=3.0,-0.8845,1.033,P > 0.05,ns
  eL=-55.0 gnaps=3.6,0.1546,0.1806,P > 0.05,ns
  eL=-55.0 gnaps=4.2,0.6895,0.8056,P > 0.05,ns
  eL=-60.0 gnaps=1.8,-0.1195,0.1397,P > 0.05,ns
  eL=-60.0 gnaps=2.4,-19.12,22.34,P<0.001,***
  eL=-60.0 gnaps=3.0,-21.65,25.30,P<0.001,***
  eL=-60.0 gnaps=3.6,-12.32,14.40,P<0.001,***
  eL=-60.0 gnaps=4.2,-26.74,36.04,P<0.001,***
  eL=-65.0 gnaps=1.8,-1.751,2.045,P > 0.05,ns
  eL=-65.0 gnaps=2.4,-5.456,6.375,P<0.001,***
  eL=-65.0 gnaps=3.0,-5.970,6.975,P<0.001,***
  eL=-65.0 gnaps=3.6,-16.63,19.43,P<0.001,***
  eL=-65.0 gnaps=4.2,-30.61,35.76,P<0.001,***
