Parameter,,,,
Table Analyzed,Peak per Burst inv,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,6.17,< 0.0001,,
  Model,2.52,< 0.0001,,
  Parameters,86.68,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,***,Yes,,
  Model,***,Yes,,
  Parameters,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,14,34720,2480,236.3
  Model,1,14180,14180,1351
  Parameters,14,487700,34840,3319
  Residual,2480,26030,10.50,
,,,,
Number of missing values,2320,,,
,,,,
Bonferroni posttests,,,,
,,,,
TB vs Yan,,,,
Parameters,TB,Yan,Difference,95% CI of diff.
  eL=-55.0 gnaps=1.8,34.01,38.12,4.111,2.615 to 5.607
  eL=-55.0 gnaps=2.4,43.22,49.31,6.086,4.591 to 7.582
  eL=-55.0 gnaps=3.0,52.84,60.42,7.580,6.084 to 9.076
  eL=-55.0 gnaps=3.6,61.54,71.41,9.864,8.368 to 11.36
  eL=-55.0 gnaps=4.2,70.52,81.27,10.75,9.257 to 12.25
  eL=-60.0 gnaps=1.8,28.83,28.90,0.07407,-1.422 to 1.570
  eL=-60.0 gnaps=2.4,36.84,37.95,1.111,-0.3846 to 2.607
  eL=-60.0 gnaps=3.0,49.81,46.99,-2.827,-4.323 to -1.331
  eL=-60.0 gnaps=3.6,57.93,53.85,-4.074,-5.570 to -2.578
  eL=-60.0 gnaps=4.2,32.20,60.23,28.04,26.74 to 29.33
  eL=-65.0 gnaps=1.8,24.73,25.77,1.037,-0.4587 to 2.533
  eL=-65.0 gnaps=2.4,33.74,33.79,0.04938,-1.446 to 1.545
  eL=-65.0 gnaps=3.0,41.75,41.80,0.04938,-1.446 to 1.545
  eL=-65.0 gnaps=3.6,50.23,55.12,4.889,3.393 to 6.385
  eL=-65.0 gnaps=4.2,62.67,67.79,5.123,3.628 to 6.619
,,,,
,,,,
,,,,
Parameters,Difference,t,P value,Summary
  eL=-55.0 gnaps=1.8,4.111,8.075,P<0.001,***
  eL=-55.0 gnaps=2.4,6.086,11.96,P<0.001,***
  eL=-55.0 gnaps=3.0,7.580,14.89,P<0.001,***
  eL=-55.0 gnaps=3.6,9.864,19.38,P<0.001,***
  eL=-55.0 gnaps=4.2,10.75,21.12,P<0.001,***
  eL=-60.0 gnaps=1.8,0.07407,0.1455,P > 0.05,ns
  eL=-60.0 gnaps=2.4,1.111,2.182,P > 0.05,ns
  eL=-60.0 gnaps=3.0,-2.827,5.553,P<0.001,***
  eL=-60.0 gnaps=3.6,-4.074,8.002,P<0.001,***
  eL=-60.0 gnaps=4.2,28.04,63.52,P<0.001,***
  eL=-65.0 gnaps=1.8,1.037,2.037,P > 0.05,ns
  eL=-65.0 gnaps=2.4,0.04938,0.09699,P > 0.05,ns
  eL=-65.0 gnaps=3.0,0.04938,0.09700,P > 0.05,ns
  eL=-65.0 gnaps=3.6,4.889,9.603,P<0.001,***
  eL=-65.0 gnaps=4.2,5.123,10.06,P<0.001,***
