Parameter,,,,
Table Analyzed,Peaks Amplitude,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,14.57,< 0.0001,,
  Parameters,28.68,< 0.0001,,
  Model,1.37,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,***,Yes,,
  Parameters,***,Yes,,
  Model,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,19,9853,518.6,2928
  Parameters,19,19390,1021,5763
  Model,1,926.3,926.3,5230
  Residual,211489,37460,0.1771,
,,,,
Number of missing values,300071,,,
,,,,
Bonferroni posttests,,,,
,,,,
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-50.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.302,5.324,0.02278,-0.001254 to 0.04681
  TB,5.344,5.369,0.02512,-0.004447 to 0.05468
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02278,3.624,P<0.001,***
  TB,0.02512,3.248,P<0.01,**
,,,,
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-50.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.302,5.342,0.03995,0.01652 to 0.06338
  TB,5.344,5.387,0.04300,0.01450 to 0.07150
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03995,6.519,P<0.001,***
  TB,0.04300,5.769,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-50.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.302,5.354,0.05236,0.02936 to 0.07536
  TB,5.344,5.402,0.05831,0.03053 to 0.08609
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05236,8.705,P<0.001,***
  TB,0.05831,8.027,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-50.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.302,5.363,0.06156,0.03889 to 0.08423
  TB,5.344,5.414,0.07018,0.04292 to 0.09745
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06156,10.38,P<0.001,***
  TB,0.07018,9.841,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.302,5.293,-0.008792,-0.04270 to 0.02512
  TB,5.344,5.356,0.01163,-0.02615 to 0.04940
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.008792,0.9913,P > 0.05,ns
  TB,0.01163,1.177,P > 0.05,ns
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.302,5.333,0.03153,0.0005490 to 0.06251
  TB,5.344,5.400,0.05655,0.02152 to 0.09157
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03153,3.891,P<0.001,***
  TB,0.05655,6.173,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,,,,
