Parameter,,,,
Table Analyzed,Peaks Interval,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,0.01,0.3368,,
  Parameters,1.03,< 0.0001,,
  Model,0.01,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,ns,No,,
  Parameters,***,Yes,,
  Model,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,19,1.652,0.08697,1.105
  Parameters,19,172.4,9.076,115.3
  Model,1,1.323,1.323,16.81
  Residual,211449,16640,0.07868,
,,,,
Number of missing values,300071,,,
,,,,
Bonferroni posttests,,,,
,,,,
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-50.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.03609,0.03082,-0.005271,-0.02129 to 0.01075
  TB,0.05646,0.04481,-0.01165,-0.03135 to 0.008061
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.005271,1.258,P > 0.05,ns
  TB,-0.01165,2.260,P < 0.05,*
,,,,
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-50.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.03609,0.02752,-0.008576,-0.02419 to 0.007042
  TB,0.05646,0.03765,-0.01881,-0.03781 to 0.0001869
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.008576,2.100,P > 0.05,ns
  TB,-0.01881,3.786,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-50.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.03609,0.02520,-0.01089,-0.02622 to 0.004437
  TB,0.05646,0.03294,-0.02351,-0.04203 to -0.004996
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.01089,2.717,P < 0.05,*
  TB,-0.02351,4.855,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-50.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.03609,0.02346,-0.01263,-0.02775 to 0.002477
  TB,0.05646,0.02969,-0.02676,-0.04494 to -0.008585
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.01263,3.197,P<0.01,**
  TB,-0.02676,5.629,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.03609,0.09693,0.06084,0.03823 to 0.08344
  TB,0.05646,0.1086,0.05210,0.02692 to 0.07728
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06084,10.29,P<0.001,***
  TB,0.05210,7.911,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.03609,0.07509,0.03900,0.01835 to 0.05965
  TB,0.05646,0.08567,0.02921,0.005863 to 0.05256
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03900,7.221,P<0.001,***
  TB,0.02921,4.784,P<0.001,***
,,,,
