Parameter,,,,
Table Analyzed,Peak per Burst inv,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,36.73,< 0.0001,,
  Model,1.08,< 0.0001,,
  Parameters,38.21,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,***,Yes,,
  Model,***,Yes,,
  Parameters,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,16,87110,5445,252.6
  Model,1,2563,2563,118.9
  Parameters,16,90610,5663,262.7
  Residual,2638,56870,21.56,
,,,,
Number of missing values,2802,,,
,,,,
Bonferroni posttests,,,,
,,,,
TB vs Yan,,,,
Parameters,TB,Yan,Difference,95% CI of diff.
  eL=-50.0 gnaps=1.8,66.43,0.0000,-66.43,-80.33 to -52.52
  eL=-50.0 gnaps=2.4,83.69,0.0000,-83.69,-97.59 to -69.78
  eL=-55.0 gnaps=1.8,34.01,38.12,4.111,1.940 to 6.283
  eL=-55.0 gnaps=2.4,43.22,49.31,6.086,3.915 to 8.258
  eL=-55.0 gnaps=3.0,52.84,60.42,7.580,5.409 to 9.752
  eL=-55.0 gnaps=3.6,61.54,71.41,9.864,7.693 to 12.04
  eL=-55.0 gnaps=4.2,70.52,81.27,10.75,8.582 to 12.92
  eL=-60.0 gnaps=1.8,28.83,28.90,0.07407,-2.098 to 2.246
  eL=-60.0 gnaps=2.4,36.84,37.95,1.111,-1.060 to 3.283
  eL=-60.0 gnaps=3.0,49.81,46.99,-2.827,-4.999 to -0.6556
  eL=-60.0 gnaps=3.6,57.93,53.85,-4.074,-6.246 to -1.902
  eL=-60.0 gnaps=4.2,32.20,60.23,28.04,26.15 to 29.92
  eL=-65.0 gnaps=1.8,24.73,25.77,1.037,-1.135 to 3.209
  eL=-65.0 gnaps=2.4,33.74,33.79,0.04938,-2.122 to 2.221
  eL=-65.0 gnaps=3.0,41.75,41.80,0.04938,-2.122 to 2.221
  eL=-65.0 gnaps=3.6,50.23,55.12,4.889,2.717 to 7.060
  eL=-65.0 gnaps=4.2,62.67,67.79,5.123,2.952 to 7.295
,,,,
Parameters,Difference,t,P value,Summary
  eL=-50.0 gnaps=1.8,-66.43,14.22,P<0.001,***
  eL=-50.0 gnaps=2.4,-83.69,17.91,P<0.001,***
  eL=-55.0 gnaps=1.8,4.111,5.635,P<0.001,***
  eL=-55.0 gnaps=2.4,6.086,8.343,P<0.001,***
  eL=-55.0 gnaps=3.0,7.580,10.39,P<0.001,***
  eL=-55.0 gnaps=3.6,9.864,13.52,P<0.001,***
  eL=-55.0 gnaps=4.2,10.75,14.74,P<0.001,***
  eL=-60.0 gnaps=1.8,0.07407,0.1015,P > 0.05,ns
  eL=-60.0 gnaps=2.4,1.111,1.523,P > 0.05,ns
  eL=-60.0 gnaps=3.0,-2.827,3.875,P<0.01,**
  eL=-60.0 gnaps=3.6,-4.074,5.584,P<0.001,***
  eL=-60.0 gnaps=4.2,28.04,44.33,P<0.001,***
  eL=-65.0 gnaps=1.8,1.037,1.421,P > 0.05,ns
  eL=-65.0 gnaps=2.4,0.04938,0.06768,P > 0.05,ns
  eL=-65.0 gnaps=3.0,0.04938,0.06769,P > 0.05,ns
  eL=-65.0 gnaps=3.6,4.889,6.701,P<0.001,***
  eL=-65.0 gnaps=4.2,5.123,7.023,P<0.001,***
