Parameter,,,,
Table Analyzed,Total Cycle Time inv,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,44.23,< 0.0001,,
  Model,2.85,< 0.0001,,
  Parameters,38.05,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,***,Yes,,
  Model,***,Yes,,
  Parameters,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,16,211.6,13.23,484.6
  Model,1,13.63,13.63,499.1
  Parameters,16,182.1,11.38,416.9
  Residual,2606,71.14,0.02730,
,,,,
Number of missing values,2800,,,
,,,,
Bonferroni posttests,,,,
,,,,
TB vs Yan,,,,
Parameters,TB,Yan,Difference,95% CI of diff.
  eL=-50.0 gnaps=1.8,3.764,0.0000,-3.764,-4.259 to -3.269
  eL=-50.0 gnaps=2.4,3.759,0.0000,-3.759,-4.254 to -3.264
  eL=-55.0 gnaps=1.8,3.730,3.728,-0.001982,-0.07974 to 0.07578
  eL=-55.0 gnaps=2.4,3.731,3.725,-0.005829,-0.08359 to 0.07193
  eL=-55.0 gnaps=3.0,3.724,3.719,-0.004860,-0.08262 to 0.07290
  eL=-55.0 gnaps=3.6,3.720,3.716,-0.003935,-0.08170 to 0.07383
  eL=-55.0 gnaps=4.2,3.717,3.713,-0.003393,-0.08115 to 0.07437
  eL=-60.0 gnaps=1.8,3.729,3.729,-0.0001919,-0.07795 to 0.07757
  eL=-60.0 gnaps=2.4,3.728,3.726,-0.002159,-0.07992 to 0.07560
  eL=-60.0 gnaps=3.0,3.724,3.720,-0.004170,-0.08193 to 0.07359
  eL=-60.0 gnaps=3.6,3.723,3.720,-0.003517,-0.08128 to 0.07424
  eL=-60.0 gnaps=4.2,1.870,3.721,1.851,1.783 to 1.918
  eL=-65.0 gnaps=1.8,3.729,3.729,-0.00001597,-0.07778 to 0.07775
  eL=-65.0 gnaps=2.4,3.729,3.729,-0.0001001,-0.07786 to 0.07766
  eL=-65.0 gnaps=3.0,3.729,3.728,-0.0006769,-0.07844 to 0.07708
  eL=-65.0 gnaps=3.6,3.728,3.725,-0.002876,-0.08064 to 0.07489
  eL=-65.0 gnaps=4.2,3.727,3.721,-0.005382,-0.08314 to 0.07238
,,,,
Parameters,Difference,t,P value,Summary
  eL=-50.0 gnaps=1.8,-3.764,22.64,P<0.001,***
  eL=-50.0 gnaps=2.4,-3.759,22.61,P<0.001,***
  eL=-55.0 gnaps=1.8,-0.001982,0.07587,P > 0.05,ns
  eL=-55.0 gnaps=2.4,-0.005829,0.2231,P > 0.05,ns
  eL=-55.0 gnaps=3.0,-0.004860,0.1860,P > 0.05,ns
  eL=-55.0 gnaps=3.6,-0.003935,0.1506,P > 0.05,ns
  eL=-55.0 gnaps=4.2,-0.003393,0.1299,P > 0.05,ns
  eL=-60.0 gnaps=1.8,-0.0001919,0.007347,P > 0.05,ns
  eL=-60.0 gnaps=2.4,-0.002159,0.08264,P > 0.05,ns
  eL=-60.0 gnaps=3.0,-0.004170,0.1596,P > 0.05,ns
  eL=-60.0 gnaps=3.6,-0.003517,0.1346,P > 0.05,ns
  eL=-60.0 gnaps=4.2,1.851,81.80,P<0.001,***
  eL=-65.0 gnaps=1.8,-0.00001597,0.0006115,P > 0.05,ns
  eL=-65.0 gnaps=2.4,-0.0001001,0.003833,P > 0.05,ns
  eL=-65.0 gnaps=3.0,-0.0006769,0.02591,P > 0.05,ns
  eL=-65.0 gnaps=3.6,-0.002876,0.1101,P > 0.05,ns
  eL=-65.0 gnaps=4.2,-0.005382,0.2060,P > 0.05,ns
