Parameter,,,,
Table Analyzed,Total Cycle Time,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,44.23,< 0.0001,,
  Parameters,38.05,< 0.0001,,
  Model,2.85,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,***,Yes,,
  Parameters,***,Yes,,
  Model,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,16,211.6,13.23,484.6
  Parameters,16,182.1,11.38,416.9
  Model,1,13.63,13.63,499.1
  Residual,2606,71.14,0.02730,
,,,,
Number of missing values,2800,,,
,,,,
Bonferroni posttests,,,,
,,,,
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-50.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.764,3.759,-0.005772,-0.1042 to 0.09270
  Yan,0.0000,0.0000,0.0000,-0.8752 to 0.8752
,,,,
Model,Difference,t,P value,Summary
  TB,-0.005772,0.2196,P > 0.05,ns
  Yan,0.0000,0.0000,P > 0.05,ns
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.764,3.730,-0.03471,-0.1329 to 0.06345
  Yan,0.0000,3.728,3.728,3.105 to 4.350
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03471,1.325,P > 0.05,ns
  Yan,3.728,22.42,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.764,3.731,-0.03353,-0.1317 to 0.06463
  Yan,0.0000,3.725,3.725,3.102 to 4.348
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03353,1.279,P > 0.05,ns
  Yan,3.725,22.41,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.764,3.724,-0.04018,-0.1383 to 0.05798
  Yan,0.0000,3.719,3.719,3.097 to 4.342
,,,,
Model,Difference,t,P value,Summary
  TB,-0.04018,1.533,P > 0.05,ns
  Yan,3.719,22.37,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.764,3.720,-0.04475,-0.1429 to 0.05341
  Yan,0.0000,3.716,3.716,3.093 to 4.338
,,,,
Model,Difference,t,P value,Summary
  TB,-0.04475,1.708,P > 0.05,ns
  Yan,3.716,22.35,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.764,3.717,-0.04780,-0.1460 to 0.05036
  Yan,0.0000,3.713,3.713,3.090 to 4.336
,,,,
Model,Difference,t,P value,Summary
  TB,-0.04780,1.824,P > 0.05,ns
  Yan,3.713,22.33,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,,,,
