Parameter,,,,
Table Analyzed,all models/meas,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interaction,19.12,< 0.0001,,
  Parameters,2.47,< 0.0001,,
  model/measure,77.35,< 0.0001,,
,,,,
Source of Variation,P value summary,Significant?,,
  Interaction,***,Yes,,
  Parameters,***,Yes,,
  model/measure,***,Yes,,
,,,,
Source of Variation,Df,Sum-of-squares,Mean square,F
  Interaction,126,1893000,15020,1780
  Parameters,14,245000,17500,2073
  model/measure,9,7659000,851000,100800
  Residual,12340,104200,8.442,
,,,,
Number of missing values,11660,,,
,,,,
Bonferroni posttests,,,,
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,,,,
model/measure,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,0.5960,1.371,0.7753,-1.082 to 2.633
  Burst Duration: Yan,1.012,1.848,0.8364,-1.021 to 2.694
  Interburst Interval: TB,3.134,2.360,-0.7741,-2.643 to 1.095
  Interburst Interval: Yan,2.716,1.877,-0.8390,-2.708 to 1.030
  Intraburst Frequency: TB,57.08,31.51,-25.57,-27.42 to -23.71
  Intraburst Frequency: Yan,37.74,26.72,-11.03,-12.89 to -9.171
  Peaks per Burst: TB,34.01,43.22,9.210,7.352 to 11.07
  Peaks per Burst: Yan,38.12,49.31,11.19,9.328 to 13.04
  Total Cycle Time: TB,3.730,3.731,0.001186,-1.868 to 1.870
  Total Cycle Time: Yan,3.728,3.725,-0.002661,-1.872 to 1.866
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.7753,1.698,P > 0.05,ns
  Burst Duration: Yan,0.8364,1.832,P > 0.05,ns
  Interburst Interval: TB,-0.7741,1.685,P > 0.05,ns
  Interburst Interval: Yan,-0.8390,1.826,P > 0.05,ns
  Intraburst Frequency: TB,-25.57,56.00,P<0.001,***
  Intraburst Frequency: Yan,-11.03,24.15,P<0.001,***
  Peaks per Burst: TB,9.210,20.17,P<0.001,***
