,TB,Yan
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,78.79,85.00
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,139.6,134.2
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,174.5,168.5
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,200.3,190.6
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,21.34,63.44
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,12.60,37.24
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,25.57,26.10
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,77.28,77.68
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,0.02703,109.4
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,27.78,67.85
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,22.76,62.54
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,17.24,56.64
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,9.469,35.55
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,2.531,4.643
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,60.82,49.19
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,95.68,83.49
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,121.5,105.6
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,100.1,148.4
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,91.38,122.2
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,53.22,58.90
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,1.506,7.314
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,90.91,24.44
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,106.6,152.9
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,101.5,147.5
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,96.03,141.6
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,88.26,120.6
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,76.26,89.64
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,34.86,34.31
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,60.71,56.44
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,160.9,197.6
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,152.2,171.4
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,114.0,108.1
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,62.32,56.50
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,161.1,24.74
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,167.4,202.0
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,162.4,196.7
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,156.8,190.8
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,149.1,169.7
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,137.1,138.8
eL=-55.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,25.85,22.13
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,195.8,231.9
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,187.1,205.7
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,148.9,142.4
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,97.18,90.81
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,201.3,59.05
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,202.2,236.3
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,197.2,231.0
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,191.7,225.1
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,183.9,204.0
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,171.9,173.1
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,221.7,254.1
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,212.9,227.9
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,174.7,164.5
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,123.0,112.9
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,231.1,81.18
