,TB,Yan
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=2.4,23.91,0.0000
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=1.8,87.95,19.10
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,53.41,13.20
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,26.40,9.754
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,10.91,7.355
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,0.5641,5.807
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,97.27,23.49
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,93.39,21.66
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,76.46,17.23
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,53.74,13.67
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,5.756,11.48
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,100.1,23.80
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,97.90,23.43
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,95.47,23.02
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,92.05,21.54
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,86.70,19.37
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=1.8,111.9,19.10
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=2.4,77.39,13.20
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,50.38,9.754
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,34.90,7.355
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,23.42,5.807
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,121.3,23.49
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,117.4,21.66
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,100.4,17.23
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,77.73,13.67
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,33.42,11.48
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,124.1,23.80
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,121.9,23.43
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,119.5,23.02
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,116.0,21.54
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,110.7,19.37
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,34.64,37.55
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,61.74,59.46
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,77.27,74.73
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,88.79,84.58
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,9.359,27.98
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,5.462,16.31
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,11.53,11.85
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,34.31,34.54
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,96.09,48.49
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,12.19,29.92
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,9.982,27.58
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,7.552,24.96
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,4.117,15.57
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,1.246,1.765
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,27.10,21.91
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,42.63,37.18
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,54.15,47.03
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,44.00,65.52
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,40.10,53.86
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,23.12,25.69
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,0.3321,3.003
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,56.09,10.94
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,46.83,67.47
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,44.62,65.13
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,42.19,62.51
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,38.76,53.12
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,33.40,39.31
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,15.54,15.27
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,27.05,25.12
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,71.10,87.43
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,67.20,75.77
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,50.21,47.60
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,27.43,24.91
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,24.80,10.97
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,73.93,89.38
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,71.72,87.04
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,69.29,84.42
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,65.85,75.03
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,60.49,61.22
eL=-55.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,11.51,9.852
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,86.63,102.7
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,82.74,91.04
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,65.75,62.87
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,42.96,40.18
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,6.862,26.24
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,89.47,104.7
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,87.26,102.3
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,84.83,99.69
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,81.39,90.30
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,76.03,76.49
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,98.15,112.6
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,94.25,100.9
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,77.26,72.73
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,54.48,50.04
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,6.434,36.09
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,101.0,114.5
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,98.77,112.2
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,96.34,109.5
