,TB,Yan
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=2.4,1.345,0.0000
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=1.8,36.86,6.887
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,7.080,4.875
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,1.706,4.747
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,1.530,4.909
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,2.596,5.173
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,57.34,13.60
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,61.26,10.75
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,39.00,6.799
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,20.19,5.555
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,40.56,5.275
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,59.45,13.63
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,75.91,15.54
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,84.39,16.77
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,86.82,15.21
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,87.91,12.83
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=1.8,35.51,6.887
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=2.4,5.730,4.875
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,0.3566,4.747
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,0.1811,4.909
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,1.247,5.173
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,55.99,13.60
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,59.91,10.75
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,37.65,6.799
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,18.84,5.555
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,39.00,5.275
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,58.10,13.63
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,74.56,15.54
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,83.04,16.77
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,85.47,15.21
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,86.56,12.83
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,29.87,12.89
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,35.26,13.71
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,35.44,12.67
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,34.37,10.97
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,20.54,42.99
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,24.48,24.73
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,2.145,0.5623
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,16.72,8.530
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,1.924,10.32
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,22.66,43.20
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,39.17,55.38
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,47.68,63.30
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,50.12,53.28
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,51.21,38.04
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,5.391,0.8209
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,5.567,0.2171
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,4.497,1.911
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,50.41,55.88
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,54.35,37.61
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,32.02,12.32
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,13.15,4.355
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,32.53,2.563
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,52.53,56.09
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,69.04,68.27
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,77.55,76.18
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,79.99,66.16
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,81.08,50.92
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,0.1760,1.038
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,0.8934,2.732
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,55.80,56.70
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,59.74,38.43
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,37.41,13.14
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,18.54,5.176
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,38.75,3.384
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,57.92,56.91
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,74.43,69.09
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,82.94,77.00
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,85.38,66.99
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,86.47,51.74
eL=-55.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,1.069,1.694
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,55.98,55.66
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,59.92,37.40
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,37.58,12.11
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,18.71,4.138
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,38.95,2.346
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,58.10,55.87
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,74.61,68.05
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,83.12,75.97
