,TB,Yan
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=2.4,3.624,3.248
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=3.0,6.519,5.769
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=3.6,8.705,8.027
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=4.2,10.38,9.841
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=1.8,0.9913,1.177
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,3.891,6.173
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,7.909,10.44
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,11.03,13.79
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,13.49,16.22
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,0.7646,1.033
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,6.395,8.638
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,16.34,19.46
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,20.52,28.49
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,24.52,19.53
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,5.028,6.464
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,40.62,54.87
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,70.61,131.6
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,22.07,193.4
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,21.68,178.5
eL=-50.0 gnaps=2.4 vs eL=-50.0 gnaps=3.0,2.926,2.563
eL=-50.0 gnaps=2.4 vs eL=-50.0 gnaps=3.6,5.144,4.900
eL=-50.0 gnaps=2.4 vs eL=-50.0 gnaps=4.2,6.851,6.795
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=1.8,3.632,1.416
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=2.4,1.107,3.581
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,5.044,7.911
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,8.115,11.35
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,10.55,13.85
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,1.574,3.550
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,3.909,11.69
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,13.89,17.39
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,18.09,26.84
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,22.13,17.38
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,2.860,4.311
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,43.88,59.53
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,74.87,140.0
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,25.65,205.7
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,19.13,191.4
eL=-50.0 gnaps=3.0 vs eL=-50.0 gnaps=3.6,2.225,2.372
eL=-50.0 gnaps=3.0 vs eL=-50.0 gnaps=4.2,3.940,4.311
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=1.8,5.681,3.373
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=2.4,1.081,1.588
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=3.0,2.766,5.928
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,5.774,9.404
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,8.175,11.93
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,3.382,5.432
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,1.963,13.97
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,11.94,15.74
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,16.12,25.46
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,20.17,15.64
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,1.180,2.693
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,46.31,62.88
