,TB,Yan
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=2.4,1.258,2.260
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=3.0,2.100,3.786
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=3.6,2.717,4.855
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=4.2,3.197,5.629
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=1.8,10.29,7.911
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,7.221,4.784
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,4.985,2.365
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,3.284,0.6713
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,2.049,0.7374
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,13.95,10.27
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,10.32,6.806
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,7.731,3.005
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,6.208,1.305
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,5.013,0.2524
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,15.59,12.60
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,11.82,8.006
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,9.118,5.169
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,5.922,2.907
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,3.754,0.4382
eL=-50.0 gnaps=2.4 vs eL=-50.0 gnaps=3.0,0.8449,1.540
eL=-50.0 gnaps=2.4 vs eL=-50.0 gnaps=3.6,1.467,2.627
eL=-50.0 gnaps=2.4 vs eL=-50.0 gnaps=4.2,1.952,3.419
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=1.8,11.41,10.04
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=2.4,8.399,6.983
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,6.198,4.603
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,4.518,2.927
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,3.296,1.524
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,14.99,12.33
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,11.44,8.959
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,8.897,5.231
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,7.401,3.553
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,6.225,2.510
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,16.60,14.60
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,12.91,10.13
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,10.26,7.357
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,7.119,5.135
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,4.981,2.693
eL=-50.0 gnaps=3.0 vs eL=-50.0 gnaps=3.6,0.6235,1.093
eL=-50.0 gnaps=3.0 vs eL=-50.0 gnaps=4.2,1.110,1.892
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=1.8,12.14,11.44
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=2.4,9.170,8.442
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=3.0,6.997,6.101
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,5.336,4.446
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,4.124,3.057
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,15.67,13.68
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,12.16,10.38
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,9.660,6.717
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,8.185,5.064
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,7.024,4.034
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,17.25,15.90
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,13.61,11.53
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,11.00,8.808
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,7.905,6.623
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,5.792,4.213
eL=-50.0 gnaps=3.6 vs eL=-50.0 gnaps=4.2,0.4872,0.8016
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=1.8,12.66,12.40
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=2.4,9.727,9.451
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=3.0,7.577,7.143
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=3.6,5.931,5.508
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,4.729,4.133
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,16.15,14.60
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,12.69,11.35
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,10.21,7.749
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,8.752,6.118
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,7.603,5.100
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,17.72,16.78
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,14.12,12.48
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,11.54,9.808
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,8.475,7.657
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,6.382,5.276
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=1.8,13.06,13.08
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=2.4,10.15,10.17
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=3.0,8.023,7.893
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=3.6,6.391,6.276
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=4.2,5.197,4.914
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,16.52,15.26
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,13.09,12.05
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,10.63,8.491
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,9.188,6.879
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,8.050,5.872
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,18.07,17.41
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,14.51,13.16
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,11.95,10.53
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,8.913,8.400
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,6.838,6.045
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,3.248,3.204
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,5.528,5.615
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,7.208,7.265
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,8.393,8.612
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,3.994,2.460
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,0.03776,1.137
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,2.707,4.976
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,4.286,6.649
