,TB,Yan
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=2.4,23.52,0.0000
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=1.8,44.29,8.161
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,31.71,10.56
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,18.56,12.93
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,6.671,15.29
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,5.594,17.40
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,51.37,6.187
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,40.43,8.124
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,22.70,10.06
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,11.61,11.53
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,53.89,12.89
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,56.98,5.516
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,44.66,7.233
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,33.71,8.949
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,22.12,11.80
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,5.136,14.51
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=1.8,67.88,8.161
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=2.4,55.29,10.56
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,42.15,12.93
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,30.26,15.29
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,17.99,17.40
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,74.96,6.187
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,64.01,8.124
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,46.28,10.06
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,35.20,11.53
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,81.07,12.89
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,80.56,5.516
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,68.25,7.233
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,57.30,8.949
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,45.71,11.80
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,28.72,14.51
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,12.62,15.33
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,25.81,30.56
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,37.74,45.62
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,50.04,59.14
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,7.107,12.64
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,3.875,0.2369
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,21.66,12.15
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,32.78,21.56
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,2.867,30.31
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,12.73,16.94
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,0.3723,5.940
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,10.61,5.043
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,22.24,23.30
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,39.28,40.66
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,13.18,15.23
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,25.11,30.29
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,37.41,43.81
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,19.73,27.97
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,8.749,15.57
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,9.036,3.181
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,20.15,6.227
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,17.43,14.98
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,25.35,32.27
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,13.00,21.27
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,2.014,10.29
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,9.612,7.970
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,26.65,25.33
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,11.93,15.06
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,24.23,28.58
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,32.91,43.20
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,21.93,30.80
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,4.146,18.41
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,6.972,9.003
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,32.64,0.2538
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,38.53,47.50
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,26.18,36.50
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,15.20,25.52
