,TB,Yan
eL=-50.0 gnaps=1.8 vs eL=-50.0 gnaps=2.4,0.2196,0.0000
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=1.8,1.325,22.42
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,1.279,22.41
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,1.533,22.37
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,1.708,22.35
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,1.824,22.33
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,1.359,22.43
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,1.398,22.41
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,1.553,22.37
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,1.565,22.38
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,83.37,22.38
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,1.362,22.43
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,1.359,22.43
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,1.361,22.42
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,1.376,22.41
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,1.439,22.38
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=1.8,1.104,22.42
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=2.4,1.059,22.41
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,1.313,22.37
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,1.487,22.35
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,1.604,22.33
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,1.139,22.43
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,1.178,22.41
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,1.333,22.37
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,1.345,22.38
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,83.12,22.38
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,1.142,22.43
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,1.139,22.43
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,1.141,22.42
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,1.156,22.41
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,1.219,22.38
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,0.04540,0.1019
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,0.2092,0.3194
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,0.3841,0.4589
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,0.5010,0.5550
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,0.03461,0.03391
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,0.07358,0.08035
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,0.2296,0.3133
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,0.2413,0.3001
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,82.19,0.2586
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,0.03794,0.03732
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,0.03487,0.03716
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,0.03656,0.01340
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,0.05191,0.08613
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,0.1146,0.2448
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,0.2546,0.2175
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,0.4295,0.3570
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,0.5464,0.4531
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,0.08000,0.1358
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,0.1190,0.02151
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,0.2750,0.2115
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,0.2867,0.1982
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,82.24,0.1567
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,0.08333,0.1392
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,0.08027,0.1390
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,0.08196,0.1153
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,0.09731,0.01573
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,0.1600,0.1429
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,0.1749,0.1395
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,0.2918,0.2356
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,0.1746,0.3533
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,0.1357,0.2391
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,0.02032,0.006087
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,0.03208,0.01934
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,81.95,0.06083
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,0.1713,0.3567
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,0.1744,0.3566
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,0.1727,0.3328
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,0.1573,0.2333
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,0.09462,0.07465
eL=-55.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,0.1169,0.09611
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,0.3495,0.4928
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,0.3106,0.3785
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,0.1546,0.1456
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,0.1428,0.1588
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,81.75,0.2003
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,0.3462,0.4962
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,0.3493,0.4961
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,0.3476,0.4723
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,0.3322,0.3728
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,0.2695,0.2141
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,0.4664,0.5889
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,0.4274,0.4747
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,0.2714,0.2417
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,0.2597,0.2549
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,81.61,0.2964
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,0.4631,0.5923
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,0.4661,0.5922
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,0.4644,0.5684
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,0.4491,0.4689
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,0.3864,0.3102
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,0.03897,0.1143
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,0.1950,0.3472
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,0.2067,0.3340
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,82.15,0.2925
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,0.003331,0.003404
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,0.0002647,0.003249
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,0.001953,0.02052
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,0.01730,0.1200
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,0.08000,0.2787
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,0.1560,0.2330
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,0.1677,0.2197
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,82.11,0.1782
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,0.03564,0.1177
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,0.03871,0.1175
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,0.03702,0.09375
