,,Peaks Amplitude,Intervals
eL=-50.0 gnaps=1.8,count,8312.0,8311.0
eL=-50.0 gnaps=1.8,mean,5.301572990174812,0.03609078329924198
eL=-50.0 gnaps=1.8,std,0.24390543037069873,0.020027313821804803
eL=-50.0 gnaps=1.8,min,4.487092828413687,0.010499999999999954
eL=-50.0 gnaps=1.8,25%,5.264362406039789,0.013800000000003365
eL=-50.0 gnaps=1.8,50%,5.405481251053212,0.03820000000001755
eL=-50.0 gnaps=1.8,75%,5.46449351480837,0.04809999999999803
eL=-50.0 gnaps=1.8,max,5.848510781780647,0.08480000000000132
eL=-50.0 gnaps=2.4,count,9734.0,9733.0
eL=-50.0 gnaps=2.4,mean,5.324349780036966,0.030819839720538377
eL=-50.0 gnaps=2.4,std,0.2592270407811863,0.01355498415539981
eL=-50.0 gnaps=2.4,min,4.425782891284842,0.010199999999999987
eL=-50.0 gnaps=2.4,25%,5.330285991927927,0.015200000000000102
eL=-50.0 gnaps=2.4,50%,5.435475888162554,0.03350000000000364
eL=-50.0 gnaps=2.4,75%,5.489471303542453,0.039800000000013824
eL=-50.0 gnaps=2.4,max,5.968830819784618,0.05649999999999977
eL=-50.0 gnaps=3.0,count,10903.0,10902.0
eL=-50.0 gnaps=3.0,mean,5.341519371811641,0.02751504311135572
eL=-50.0 gnaps=3.0,std,0.2754468812010501,0.01034545915726945
eL=-50.0 gnaps=3.0,min,4.3002294581035985,0.009999999999999787
eL=-50.0 gnaps=3.0,25%,5.364234992975571,0.016899999999992588
eL=-50.0 gnaps=3.0,50%,5.459305762235887,0.030000000000001137
eL=-50.0 gnaps=3.0,75%,5.512267820791958,0.034500000000036835
eL=-50.0 gnaps=3.0,max,6.1071130494358,0.04480000000000217
eL=-50.0 gnaps=3.6,count,11906.0,11905.0
eL=-50.0 gnaps=3.6,mean,5.353933354151559,0.025196740865182695
eL=-50.0 gnaps=3.6,std,0.2938587424631417,0.008398342598153825
eL=-50.0 gnaps=3.6,min,4.158495340561808,0.009799999999999809
eL=-50.0 gnaps=3.6,25%,5.386892987030576,0.01850000000001728
eL=-50.0 gnaps=3.6,50%,5.479020141809495,0.02740000000000009
eL=-50.0 gnaps=3.6,75%,5.5324364136877024,0.030900000000002592
eL=-50.0 gnaps=3.6,max,6.111635388541084,0.038200000000001566
eL=-50.0 gnaps=4.2,count,12790.0,12789.0
eL=-50.0 gnaps=4.2,mean,5.363130017231953,0.023456157635467982
eL=-50.0 gnaps=4.2,std,0.3137462660912199,0.00708321911888872
eL=-50.0 gnaps=4.2,min,3.557825922483228,0.008999999999999998
eL=-50.0 gnaps=4.2,25%,5.408603438246303,0.019400000000000972
eL=-50.0 gnaps=4.2,50%,5.49608818099667,0.025400000000004752
eL=-50.0 gnaps=4.2,75%,5.547699953427112,0.028200000000026648
eL=-50.0 gnaps=4.2,max,6.3988492661921725,0.03380000000000116
eL=-55.0 gnaps=1.8,count,3088.0,3087.0
eL=-55.0 gnaps=1.8,mean,5.2927814531935855,0.09692908973113055
eL=-55.0 gnaps=1.8,std,0.22767851978661288,0.42928179112530557
eL=-55.0 gnaps=1.8,min,4.854191891420308,0.011300000000000088
eL=-55.0 gnaps=1.8,25%,5.077178996708457,0.012100000000003774
eL=-55.0 gnaps=1.8,50%,5.316088500805759,0.013700000000000045
eL=-55.0 gnaps=1.8,75%,5.5074622419858805,0.022600000000011278
eL=-55.0 gnaps=1.8,max,5.705276434121263,2.7337999999999987
eL=-55.0 gnaps=2.4,count,3994.0,3993.0
eL=-55.0 gnaps=2.4,mean,5.333102424278085,0.07509286250939141
eL=-55.0 gnaps=2.4,std,0.23779364571256623,0.26097814415214066
eL=-55.0 gnaps=2.4,min,4.813407620596187,0.011099999999999888
eL=-55.0 gnaps=2.4,25%,5.106465970921955,0.012200000000007094
eL=-55.0 gnaps=2.4,50%,5.422653064753266,0.015799999999984493
eL=-55.0 gnaps=2.4,75%,5.53994701606755,0.06809999999998695
eL=-55.0 gnaps=2.4,max,5.75017463252486,1.8909999999999982
eL=-55.0 gnaps=3.0,count,4894.0,4893.0
eL=-55.0 gnaps=3.0,mean,5.361543905487406,0.06128769670958512
eL=-55.0 gnaps=3.0,std,0.2435431708279653,0.17433279499140106
eL=-55.0 gnaps=3.0,min,4.752639017005782,0.01079999999999992
eL=-55.0 gnaps=3.0,25%,5.147026985907781,0.012399999999999523
eL=-55.0 gnaps=3.0,50%,5.465457827295282,0.02230000000000132
eL=-55.0 gnaps=3.0,75%,5.556925136135766,0.06740000000002055
eL=-55.0 gnaps=3.0,max,5.885465161920449,1.4212000000000007
eL=-55.0 gnaps=3.6,count,5784.0,5783.0
eL=-55.0 gnaps=3.6,mean,5.381045809627576,0.05186334082656061
eL=-55.0 gnaps=3.6,std,0.24967256323611603,0.12106053708912347
eL=-55.0 gnaps=3.6,min,4.645011301491786,0.010599999999999943
eL=-55.0 gnaps=3.6,25%,5.201270505640997,0.012600000000020373
eL=-55.0 gnaps=3.6,50%,5.491100074705603,0.03669999999999618
eL=-55.0 gnaps=3.6,75%,5.57271508306051,0.05880000000001928
eL=-55.0 gnaps=3.6,max,6.066445065141841,1.0999000000000017
eL=-55.0 gnaps=4.2,count,6583.0,6582.0
eL=-55.0 gnaps=4.2,mean,5.3952163943446605,0.0455719386204801
eL=-55.0 gnaps=4.2,std,0.25585286679946595,0.08981819489154691
eL=-55.0 gnaps=4.2,min,4.572668982878431,0.010399999999999965
eL=-55.0 gnaps=4.2,25%,5.246579856481683,0.01290000000000191
eL=-55.0 gnaps=4.2,50%,5.511821198554587,0.04079999999999728
eL=-55.0 gnaps=4.2,75%,5.5814755141029355,0.05169999999998254
eL=-55.0 gnaps=4.2,max,6.239034982884053,0.8766999999999996
eL=-60.0 gnaps=1.8,count,2341.0,2340.0
eL=-60.0 gnaps=1.8,mean,5.309101738868318,0.127637094017094
eL=-60.0 gnaps=1.8,std,0.25175843493550903,0.6055943199317332
eL=-60.0 gnaps=1.8,min,4.8569052612645045,0.011099999999999
eL=-60.0 gnaps=1.8,25%,5.08384330315546,0.011600000000001387
eL=-60.0 gnaps=1.8,50%,5.299067098684099,0.012600000000003497
eL=-60.0 gnaps=1.8,75%,5.523725635759442,0.01480000000000814
eL=-60.0 gnaps=1.8,max,5.855341630131747,3.3842000000000008
eL=-60.0 gnaps=2.4,count,3074.0,3073.0
eL=-60.0 gnaps=2.4,mean,5.3583852223434505,0.09719899121379759
eL=-60.0 gnaps=2.4,std,0.30697288327113104,0.4886304221749742
eL=-60.0 gnaps=2.4,min,4.776561080512087,0.01089999999999236
eL=-60.0 gnaps=2.4,25%,5.062951266455572,0.011599999999987176
eL=-60.0 gnaps=2.4,50%,5.3682726782658445,0.013099999999999667
eL=-60.0 gnaps=2.4,75%,5.654671266812127,0.020899999999997476
eL=-60.0 gnaps=2.4,max,5.917850974816942,3.0903000000000027
eL=-60.0 gnaps=3.0,count,3806.0,3805.0
eL=-60.0 gnaps=3.0,mean,5.436130335540118,0.07853729303547966
eL=-60.0 gnaps=3.0,std,0.29032927965862476,0.34908848580961144
eL=-60.0 gnaps=3.0,min,4.687258862179426,0.010299999999999976
eL=-60.0 gnaps=3.0,25%,5.171796839513106,0.012000000000000455
